store_id,store_name,country_code,city,address,postal_code,latitude,longitude,store_format,floor_area_sqm,opening_date,manager_name,staff_count,operating_hours,performance_tier,target_monthly_revenue,has_fitting_rooms,has_personal_styling,has_click_and_collect,wheelchair_accessible,is_active,created_at,updated_at
STORE_NL_001,EuroStyle Amsterdam Flagship,NL,Amsterdam,Kalverstraat 1,7684 AC,52.37344922651967,4.911438247376374,flagship,707,2020-01-13,Milo van Westfalen,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,94630,True,True,True,True,True,2025-10-14 13:00:04.803445,2025-10-14 13:00:04.803448
STORE_NL_002,EuroStyle Amsterdam 2,NL,Amsterdam,Nieuwendijk 45,2123 AA,52.368218617174556,4.912876400457865,standard,433,2022-06-02,Benthe Mansvelt,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,58459,True,False,True,True,True,2025-10-14 13:00:04.861676,2025-10-14 13:00:04.861677
STORE_NL_003,EuroStyle Amsterdam 3,NL,Amsterdam,PC Hooftstraat 12,1905 AC,52.363442116780725,4.90796651682221,standard,436,2022-12-01,Noortje van den Velden-van Tours,14,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,62945,True,False,True,True,True,2025-10-14 13:00:04.920562,2025-10-14 13:00:04.920564
STORE_NL_004,EuroStyle Rotterdam 1,NL,Rotterdam,Lijnbaan 89,7037 AB,51.93065440307613,4.4833270076181915,standard,401,2022-10-02,Ninthe Doornhem-Weyland,8,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,48344,True,False,True,False,True,2025-10-14 13:00:04.978158,2025-10-14 13:00:04.978161
STORE_NL_005,EuroStyle Rotterdam 2,NL,Rotterdam,Beurstraverse 23,3329 AB,51.92584622296595,4.477076714241242,standard,455,2019-08-16,Pieter Arens-Westerburg,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51687,True,False,True,True,True,2025-10-14 13:00:05.036195,2025-10-14 13:00:05.036196
STORE_NL_006,EuroStyle Utrecht 1,NL,Utrecht,Vredenburg 15,5677 AB,52.08130193214209,5.115830666872427,standard,484,2020-10-10,Jules Alpaidis-de Mol,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,53555,True,False,True,True,True,2025-10-14 13:00:05.093584,2025-10-14 13:00:05.093585
STORE_NL_007,EuroStyle Utrecht Outlet,NL,Utrecht,Hoog Catharijne 67,5460 AC,52.08218417370415,5.124018192543444,outlet,610,2020-01-02,"Milan van Venrooy-West-Francië, van",9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,53758,True,False,False,True,True,2025-10-14 13:00:05.155171,2025-10-14 13:00:05.155174
STORE_NL_008,EuroStyle Eindhoven,NL,Eindhoven,Main Street 1,3142 AB,49.99195981205623,5.00769496793717,standard,429,2021-05-27,Brent Schuurmans,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,48034,True,False,True,False,True,2025-10-14 13:00:05.215087,2025-10-14 13:00:05.215089
STORE_NL_009,EuroStyle Groningen,NL,Groningen,Main Street 1,3953 AA,49.9933552140209,5.001657287339581,standard,440,2019-10-28,Zakaria Timmermans-Paillet,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,53064,True,False,True,True,True,2025-10-14 13:00:05.273349,2025-10-14 13:00:05.273352
STORE_NL_010,EuroStyle Tilburg,NL,Tilburg,Main Street 1,4109 AA,50.00103421125803,4.990387335419244,standard,486,2022-10-22,Chris van de Biezenbos,14,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51762,True,False,True,True,True,2025-10-14 13:00:05.332399,2025-10-14 13:00:05.332402
STORE_NL_011,EuroStyle Almere,NL,Almere,Main Street 1,7232 AB,49.9994866632674,4.997883360526237,standard,448,2020-01-05,Pien Engels-de Marduras,14,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,53789,True,False,True,False,True,2025-10-14 13:00:05.390940,2025-10-14 13:00:05.390942
STORE_NL_012,EuroStyle Maastricht,NL,Maastricht,Main Street 1,5553 AA,49.99269868931753,4.998109038376914,standard,429,2019-07-11,Cornelia Veenstra,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,52626,True,False,True,True,True,2025-10-14 13:00:05.448655,2025-10-14 13:00:05.448658
STORE_BE_013,EuroStyle Brussels Flagship,BE,Brussels,Rue Neuve 78,4458,50.84813013222726,4.3471778364528415,flagship,821,2023-09-22,Mrs Sheila Faulkner,22,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,99477,True,True,True,True,True,2025-10-14 13:00:05.522292,2025-10-14 13:00:05.522294
STORE_BE_014,EuroStyle Brussels 2,BE,Brussels,Avenue Louise 123,9093,50.845516715164976,4.353545505880793,standard,424,2023-11-26,Andrea Evans,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,55691,True,False,True,True,True,2025-10-14 13:00:05.582393,2025-10-14 13:00:05.582397
STORE_BE_015,EuroStyle Brussels Outlet,BE,Brussels,Boulevard Anspach 45,2976,50.846762955227945,4.353488872400872,outlet,609,2021-08-27,Olivia Ali,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,45466,True,False,False,True,True,2025-10-14 13:00:05.644452,2025-10-14 13:00:05.644455
STORE_BE_016,EuroStyle Antwerp 1,BE,Antwerp,Meir 67,4998,51.223359443434134,4.409093334550632,standard,413,2020-03-23,Dr Arthur Skinner,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,56248,True,False,True,True,True,2025-10-14 13:00:05.703368,2025-10-14 13:00:05.703371
STORE_BE_017,EuroStyle Antwerp 2,BE,Antwerp,Kammenstraat 12,1869,51.2285433945423,4.405860229212904,standard,466,2022-01-09,Miss Carly Patel,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51415,True,False,True,True,True,2025-10-14 13:00:05.761269,2025-10-14 13:00:05.761272
STORE_BE_018,EuroStyle Ghent 1,BE,Ghent,Main Street 1,7363,50.00916302046788,5.000075113814348,standard,443,2022-02-25,Stanley Parker,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,63529,True,False,True,False,True,2025-10-14 13:00:05.817356,2025-10-14 13:00:05.817358
STORE_BE_019,EuroStyle Ghent 2,BE,Ghent,Fashion Street 2,8932,49.99339682999787,4.995926742035746,standard,476,2019-05-26,Clive Allen,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,53351,True,False,True,True,True,2025-10-14 13:00:05.873223,2025-10-14 13:00:05.873226
STORE_BE_020,EuroStyle Liège,BE,Liège,Main Street 1,6082,50.009123088278,4.990867774874734,standard,457,2020-04-21,Mrs Danielle Robinson,14,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51844,True,False,True,False,True,2025-10-14 13:00:05.929669,2025-10-14 13:00:05.929671
STORE_DE_021,EuroStyle Berlin Flagship,DE,Berlin,Alexanderplatz 1,39367,52.518303746623396,13.404090752518906,flagship,806,2023-01-22,Dipl.-Ing. Heino Weimer B.Sc.,20,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,108416,True,True,True,True,True,2025-10-14 13:00:05.985426,2025-10-14 13:00:05.985430
STORE_DE_022,EuroStyle Berlin 2,DE,Berlin,Kurfürstendamm 89,21655,52.516613712821176,13.403309792068193,standard,410,2019-10-16,Karl-Dieter Weiß-Höfig,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,49422,True,False,True,False,True,2025-10-14 13:00:06.040467,2025-10-14 13:00:06.040470
STORE_DE_023,EuroStyle Berlin 3,DE,Berlin,Friedrichstrasse 156,89704,52.51499961337322,13.409245280726283,standard,476,2020-11-09,Leni Hermann,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,68448,True,False,True,True,True,2025-10-14 13:00:06.095963,2025-10-14 13:00:06.095966
STORE_DE_024,EuroStyle Berlin Outlet,DE,Berlin,Mall of Berlin 23,87242,52.51643063535343,13.400612924354512,outlet,620,2020-10-22,Lisa Neureuther MBA.,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,49503,True,False,False,True,True,2025-10-14 13:00:06.153406,2025-10-14 13:00:06.153408
STORE_DE_025,EuroStyle Hamburg 1,DE,Hamburg,Mönckebergstrasse 45,16081,53.55640338441141,9.994023581766795,standard,455,2022-05-18,Univ.Prof. Anke Eberth B.Sc.,8,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,63297,True,False,True,True,True,2025-10-14 13:00:06.212474,2025-10-14 13:00:06.212477
STORE_DE_026,EuroStyle Hamburg 2,DE,Hamburg,Spitalerstrasse 12,42915,53.547723496440454,9.992734522304865,standard,462,2019-04-26,Miriam Stumpf,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,73001,True,False,True,True,True,2025-10-14 13:00:06.268887,2025-10-14 13:00:06.268892
STORE_DE_027,EuroStyle Hamburg Pop-up,DE,Hamburg,Neuer Wall 78,65843,53.546530525356914,9.994505164200234,popup,180,2020-01-05,Mechthild Fischer,3,Thu-Sun 11:00-19:00,C,21944,False,False,False,False,True,2025-10-14 13:00:06.327216,2025-10-14 13:00:06.327219
STORE_DE_028,EuroStyle Munich Flagship,DE,Munich,Marienplatz 8,55578,48.13087271439973,11.589613004553279,flagship,779,2022-11-20,Kathy Fritsch-Kroker,19,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,98116,True,True,True,True,True,2025-10-14 13:00:06.382535,2025-10-14 13:00:06.382538
STORE_DE_029,EuroStyle Munich 2,DE,Munich,Pedestrian Zone 34,29974,48.134994042255585,11.575063288706918,standard,472,2020-07-27,Gloria Gertz,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,63301,True,False,True,True,True,2025-10-14 13:00:06.437483,2025-10-14 13:00:06.437486
STORE_DE_030,EuroStyle Munich 3,DE,Munich,Maximilianstrasse 67,49678,48.13781667417554,11.578346892619516,standard,443,2022-11-11,Cord Ortmann-Gunpf,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,57847,True,False,True,False,True,2025-10-14 13:00:06.491792,2025-10-14 13:00:06.491794
STORE_DE_031,EuroStyle Cologne 1,DE,Cologne,Main Street 1,50241,49.99489888260743,5.000348280744339,standard,443,2023-10-20,Steffi Ullrich,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,47697,True,False,True,True,True,2025-10-14 13:00:06.546081,2025-10-14 13:00:06.546084
STORE_DE_032,EuroStyle Cologne 2,DE,Cologne,Fashion Street 2,25062,49.99374920366546,4.997136597051472,standard,444,2019-02-02,Conrad Scholz-Hauffer,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,58801,True,False,True,True,True,2025-10-14 13:00:06.601987,2025-10-14 13:00:06.601989
STORE_DE_033,EuroStyle Frankfurt,DE,Frankfurt,Main Street 1,78663,49.999703589868524,4.991286396924783,standard,492,2020-06-07,Wieland Weller,15,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,68501,True,False,True,True,True,2025-10-14 13:00:06.656350,2025-10-14 13:00:06.656353
STORE_DE_034,EuroStyle Stuttgart,DE,Stuttgart,Main Street 1,39701,50.0061501922756,4.9996629798592105,standard,494,2022-11-12,Prof. Gotthard Sorgatz,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,71835,True,False,True,True,True,2025-10-14 13:00:06.710961,2025-10-14 13:00:06.710963
STORE_DE_035,EuroStyle Düsseldorf,DE,Düsseldorf,Main Street 1,79244,50.00504700031293,4.99369735658323,standard,474,2021-09-15,Christos Gutknecht,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,46183,True,False,True,True,True,2025-10-14 13:00:06.767809,2025-10-14 13:00:06.767812
STORE_FR_036,EuroStyle Paris Flagship,FR,Paris,Champs-Élysées 123,79966,48.86657328216794,2.3598188376718148,flagship,890,2021-10-21,Véronique Le Da Silva,25,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,94716,True,True,True,True,True,2025-10-14 13:00:06.828077,2025-10-14 13:00:06.828080
STORE_FR_037,EuroStyle Paris Flagship,FR,Paris,Rue de Rivoli 89,75899,48.85718017274711,2.3435661832729013,flagship,745,2022-04-19,Marguerite Pons,17,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",A,104846,True,True,True,True,True,2025-10-14 13:00:06.885526,2025-10-14 13:00:06.885528
STORE_FR_038,EuroStyle Paris 3,FR,Paris,Boulevard Saint-Germain 45,81012,48.85446541589624,2.3433004171963554,standard,484,2022-10-10,Madeleine Vincent,13,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,56942,True,False,True,False,True,2025-10-14 13:00:06.943166,2025-10-14 13:00:06.943168
STORE_FR_039,EuroStyle Paris 4,FR,Paris,Marais District 12,76645,48.8530372151356,2.347028057252566,standard,500,2023-07-21,Luce-Jeanne Dijoux,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,48475,True,False,True,True,True,2025-10-14 13:00:07.000625,2025-10-14 13:00:07.000626
STORE_FR_040,EuroStyle Lyon 1,FR,Lyon,Rue de la République 56,89783,45.76561931847804,4.835700871883442,standard,468,2020-05-15,Émile-Rémy Guillou,12,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,73149,True,False,True,True,True,2025-10-14 13:00:07.059389,2025-10-14 13:00:07.059390
STORE_FR_041,EuroStyle Lyon Outlet,FR,Lyon,Part-Dieu 23,90147,45.7661832242837,4.845688931462086,outlet,558,2023-12-18,Martin Dumont de la Louis,9,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,51195,True,False,False,False,True,2025-10-14 13:00:07.116661,2025-10-14 13:00:07.116663
STORE_FR_042,EuroStyle Marseille,FR,Marseille,Main Street 1,86406,50.00626089313091,4.999922688289358,standard,469,2022-03-02,Émile Leleu Le Dufour,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,65316,True,False,True,False,True,2025-10-14 13:00:07.173170,2025-10-14 13:00:07.173171
STORE_FR_043,EuroStyle Nice,FR,Nice,Main Street 1,92166,50.00967073828167,4.998272396862277,standard,418,2021-04-26,Claude Clerc-Mathieu,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,71664,True,False,True,True,True,2025-10-14 13:00:07.230744,2025-10-14 13:00:07.230745
STORE_FR_044,EuroStyle Toulouse,FR,Toulouse,Main Street 1,85211,50.00769584100237,4.992077270147671,standard,459,2020-04-25,Virginie Bègue,10,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,56081,True,False,True,True,True,2025-10-14 13:00:07.289367,2025-10-14 13:00:07.289368
STORE_FR_045,EuroStyle Bordeaux,FR,Bordeaux,Main Street 1,88997,50.00700251377053,5.007110818200889,standard,483,2023-09-24,Isabelle de Maillot,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,54329,True,False,True,False,True,2025-10-14 13:00:07.348852,2025-10-14 13:00:07.348854
STORE_LU_046,EuroStyle Luxembourg City 1,LU,Luxembourg City,Grand Rue 34,L-2007,49.60275408115386,6.122803201551907,standard,437,2021-06-09,Miss Catherine Mason,11,"Mon-Sat 10:00-20:00, Sun 12:00-18:00",B,73644,True,False,True,True,True,2025-10-14 13:00:07.406319,2025-10-14 13:00:07.406321
STORE_LU_047,EuroStyle Luxembourg City Pop-up,LU,Luxembourg City,Avenue de la Liberté 78,L-6355,49.61552239106939,6.135723140521947,popup,164,2020-03-20,Charlotte Blake,4,Thu-Sun 11:00-19:00,C,29130,False,False,False,False,True,2025-10-14 13:00:07.464756,2025-10-14 13:00:07.464757
